iter	MultiClass
0	1.553278071
1	1.511576716
2	1.47769036
3	1.448000797
4	1.423011097
5	1.401599902
6	1.380882582
7	1.361983901
8	1.345337077
9	1.329676925
10	1.316538599
11	1.304386474
12	1.292538286
13	1.281990916
14	1.271142523
15	1.26027433
16	1.25151491
17	1.243232963
18	1.234031516
19	1.227135213
20	1.219104836
21	1.210871463
22	1.20399669
23	1.195745164
24	1.188977107
25	1.182682746
26	1.176775662
27	1.170784748
28	1.164752677
29	1.158724137
30	1.153287519
31	1.147461473
32	1.142633323
33	1.137604391
34	1.132497526
35	1.128047311
36	1.124088945
37	1.119595212
38	1.116031144
39	1.111865932
40	1.107258077
41	1.102357626
42	1.09885414
43	1.094631747
44	1.090822821
45	1.087217375
46	1.083889515
47	1.080263376
48	1.077194427
49	1.073750191
50	1.070964184
51	1.068040665
52	1.064918411
53	1.061468126
54	1.058112806
55	1.054812103
56	1.051588662
57	1.048472345
58	1.045674304
59	1.042994588
60	1.040546338
61	1.037362342
62	1.034864197
63	1.032426878
64	1.030009887
65	1.027554164
66	1.025369353
67	1.022924572
68	1.020530131
69	1.018358489
70	1.015876023
71	1.0133238
72	1.011574921
73	1.009405615
74	1.007580766
75	1.005465113
76	1.003563426
77	1.001369318
78	0.999351764
79	0.9973691805
80	0.9956549626
81	0.993776857
82	0.9919515381
83	0.9899192864
84	0.9881363066
85	0.98638826
86	0.9846562001
87	0.982919856
88	0.9810411632
89	0.9792835541
90	0.9775994236
91	0.9759216876
92	0.9743250384
93	0.9728591934
94	0.971374136
95	0.9694624966
96	0.9683490139
97	0.9667957584
98	0.9652285658
99	0.9635139861
100	0.9620518294
101	0.9604286741
102	0.9588751551
103	0.9570634828
104	0.9555157583
105	0.9541614561
106	0.9526485852
107	0.9510513289
108	0.949460342
109	0.9478382817
110	0.946702746
111	0.9452838946
112	0.9437503854
113	0.9423249597
114	0.9408550743
115	0.9392743014
116	0.9378544172
117	0.9362678355
118	0.9348228734
119	0.9335164066
120	0.9321903919
121	0.9308610926
122	0.9296725557
123	0.928398113
124	0.927001898
125	0.9257711213
126	0.9245944614
127	0.9233135271
128	0.9222427089
129	0.9210119406
130	0.919889182
131	0.9186622997
132	0.917551682
133	0.9162927882
134	0.9148806875
135	0.9138947389
136	0.9126595204
137	0.9116053064
138	0.9107218068
139	0.9098948587
140	0.9088950522
141	0.9075352139
142	0.9063585683
143	0.9051487862
144	0.9039991314
145	0.9026878358
146	0.9016264799
147	0.9005558728
148	0.8996574846
149	0.8987197164
150	0.8974989664
151	0.8962419591
152	0.8952644925
153	0.8941889747
154	0.8933239174
155	0.8923902825
156	0.891306808
157	0.8903812249
158	0.889297424
159	0.88825782
160	0.8872937399
161	0.8864479182
162	0.8855402946
163	0.8846135625
164	0.8836809421
165	0.8828528169
166	0.8819422262
167	0.8810236722
168	0.8800936521
169	0.8791560089
170	0.8781421509
171	0.8772791931
172	0.876506679
173	0.8756371421
174	0.874929859
175	0.8739419647
176	0.8730995141
177	0.8724453054
178	0.8714915488
179	0.8706401186
180	0.8697445365
181	0.8688648945
182	0.8681115763
183	0.8673473342
184	0.8665718473
185	0.8659659651
186	0.8651165368
187	0.8641984468
188	0.8634458624
189	0.8627140445
190	0.8621020429
191	0.8613235898
192	0.8606908833
193	0.8598908203
194	0.8591159586
195	0.8582816769
196	0.8575203705
197	0.8569030235
198	0.8563403169
199	0.8556128527
200	0.8547974991
201	0.8540769929
202	0.8533345692
203	0.8525436521
204	0.852025002
205	0.8513665103
206	0.8505827133
207	0.8500614638
208	0.84941454
209	0.8485751499
210	0.8477513259
211	0.8470573509
212	0.8463566172
213	0.8456845414
214	0.8449956963
215	0.844219461
216	0.8435589636
217	0.8429657629
218	0.8424301541
219	0.841876443
220	0.841226266
221	0.8407521921
222	0.8399867584
223	0.8392948941
224	0.8386935546
225	0.837979855
226	0.8373190054
227	0.8367179831
228	0.8361171908
229	0.835290391
230	0.8347226304
231	0.8340737385
232	0.8333483171
233	0.8328026611
234	0.8321693051
235	0.8316636301
236	0.8311026289
