iter	Passed	Remaining
0	81	81309
1	136	68122
2	251	83701
3	329	81988
4	387	77203
5	450	74631
6	510	72470
7	573	71071
8	625	68894
9	678	67122
10	722	64979
11	770	63416
12	818	62154
13	868	61152
14	917	60259
15	977	60105
16	1020	59002
17	1062	57981
18	1119	57777
19	1165	57126
20	1264	58954
21	1318	58633
22	1376	58467
23	1433	58286
24	1486	57989
25	1532	57420
26	1591	57356
27	1645	57107
28	1702	57005
29	1751	56619
30	1800	56290
31	1851	56015
32	1901	55710
33	1942	55187
34	1994	54981
35	2035	54506
36	2072	53932
37	2119	53653
38	2168	53439
39	2214	53158
40	2276	53240
41	2331	53178
42	2381	53001
43	2428	52775
44	2485	52743
45	2537	52615
46	2586	52445
47	2644	52457
48	2692	52250
49	2748	52215
50	2795	52018
51	2841	51795
52	2894	51711
53	2944	51575
54	3000	51557
55	3051	51440
56	3099	51276
57	3164	51390
58	3219	51350
59	3271	51253
60	3313	51008
61	3366	50935
62	3414	50790
63	3461	50624
64	3512	50529
65	3561	50399
66	3608	50256
67	3661	50178
68	3714	50124
69	3760	49955
70	3806	49808
71	3852	49658
72	3895	49464
73	3943	49345
74	3987	49178
75	4043	49165
76	4088	49012
77	4139	48931
78	4198	48943
79	4244	48811
80	4287	48641
81	4329	48470
82	4371	48296
83	4426	48272
84	4484	48279
85	4537	48228
86	4582	48094
87	4631	47998
88	4675	47862
89	4718	47712
90	4772	47674
91	4820	47575
92	4865	47454
93	4911	47337
94	4956	47219
95	5003	47120
96	5038	46906
97	5085	46808
98	5134	46731
99	5190	46713
100	5236	46609
101	5280	46485
102	5321	46342
103	5369	46260
104	5422	46221
105	5465	46096
106	5504	45941
107	5552	45862
108	5604	45813
109	5652	45736
110	5692	45587
111	5736	45480
112	5779	45369
113	5829	45303
114	5873	45199
115	5925	45159
116	5980	45138
117	6030	45072
118	6083	45035
119	6127	44938
120	6180	44894
121	6221	44775
122	6263	44658
123	6308	44565
124	6362	44539
125	6405	44429
126	6445	44304
127	6495	44251
128	6539	44151
129	6584	44062
130	6627	43967
131	6680	43926
132	6722	43819
133	6770	43753
134	6828	43752
135	6869	43641
136	6913	43551
137	6953	43433
138	6991	43305
139	7031	43191
140	7076	43109
141	7137	43124
142	7180	43030
143	7235	43012
144	7283	42946
145	7334	42898
146	7379	42823
147	7429	42768
148	7471	42673
149	7516	42594
150	7571	42570
151	7634	42589
152	7684	42539
153	7738	42511
154	7781	42419
155	7842	42431
156	7898	42408
157	7958	42412
158	8018	42410
159	8070	42372
160	8122	42325
161	8162	42221
162	8208	42149
163	8256	42089
164	8305	42029
165	8345	41929
166	8391	41856
167	8438	41788
168	8487	41732
169	8537	41682
170	8595	41668
171	8639	41588
172	8686	41524
173	8727	41430
174	8764	41317
175	8807	41236
176	8852	41162
177	8891	41058
178	8946	41034
179	8995	40978
180	9040	40906
181	9091	40862
182	9141	40811
183	9191	40761
184	9234	40682
185	9275	40592
186	9326	40549
187	9377	40504
188	9422	40431
189	9470	40372
190	9507	40269
191	9553	40205
192	9599	40139
193	9655	40115
194	9718	40120
195	9767	40064
196	9809	39986
197	9850	39899
198	9885	39788
199	9935	39743
200	9987	39699
201	10030	39625
202	10083	39589
203	10133	39541
204	10168	39434
205	10215	39372
206	10262	39316
207	10303	39230
208	10348	39165
209	10393	39097
210	10446	39062
211	10500	39030
212	10551	38986
213	10603	38943
214	10650	38887
215	10695	38820
216	10739	38752
217	10784	38687
218	10825	38604
219	10868	38534
220	10910	38457
221	10955	38395
222	11011	38368
223	11065	38334
224	11116	38290
225	11170	38256
226	11217	38197
227	11258	38121
228	11310	38081
229	11374	38079
230	11420	38020
231	11475	37988
232	11531	37959
233	11579	37905
234	11632	37866
235	11682	37819
236	11727	37754
237	11774	37699
238	11826	37657
239	11874	37602
240	11919	37537
241	11976	37514
242	12029	37473
243	12078	37422
244	12129	37379
245	12181	37335
246	12237	37307
247	12289	37264
248	12336	37207
249	12404	37212
250	12465	37197
251	12508	37128
252	12553	37063
253	12599	37005
254	12647	36950
255	12684	36864
256	12725	36790
257	12769	36724
258	12815	36664
259	12866	36620
260	12903	36535
261	12958	36501
262	13010	36460
263	13060	36411
264	13113	36370
265	13165	36330
266	13217	36286
267	13261	36221
268	13299	36142
269	13357	36115
270	13400	36047
271	13454	36011
272	13505	35965
273	13557	35923
274	13602	35860
275	13643	35789
276	13689	35730
277	13751	35714
278	13790	35638
279	13849	35613
280	13891	35545
281	13944	35504
282	13988	35440
283	14046	35412
284	14098	35368
285	14140	35302
286	14196	35267
287	14238	35201
288	14296	35172
289	14339	35106
290	14398	35080
291	14449	35036
292	14504	34998
293	14546	34930
294	14592	34872
295	14638	34815
296	14686	34764
297	14732	34704
298	14786	34666
299	14843	34634
300	14893	34586
301	14938	34527
302	14991	34485
303	15030	34411
304	15093	34394
305	15141	34339
306	15190	34290
307	15244	34249
